ticker,rs_days,ipo_days_eff,fresh_via,as_of_date
BGMSP,,337,ipo,2026-08-15
BGSI,,288,ipo,2026-08-15
BGXCF,185,,rs,2026-08-15
BHAT,159,2577,rs,2026-08-15
BHAV,,121,ipo,2026-08-15
BHAVR,,121,ipo,2026-08-15
BHAVU,,149,ipo,2026-08-15
BHDG,,150,ipo,2026-08-15
BHIC,323,,rs,2026-08-15
BHLL,162,,rs,2026-08-15
BHYP,,92,ipo,2026-08-15
BIAF,330,1444,rs,2026-08-15
BID,,26,ipo,2026-08-15
BIDG,,240,ipo,2026-08-15
BIDWR,,26,ipo,2026-08-15
BIDWU,,78,ipo,2026-08-15
BIII,,198,ipo,2026-08-15
BIII.U,,221,ipo,2026-08-15
BIII.WS,,198,ipo,2026-08-15
BINI,327,383,rs,2026-08-15
BIO.B,,207,ipo,2026-08-15
BIOY,,102,ipo,2026-08-15
BIS,79,5975,rs,2026-08-15
BITA,,60,ipo,2026-08-15
BITK,,325,ipo,2026-08-15
BITW,,249,ipo,2026-08-15
BIXI,,241,ipo,2026-08-15
BIXIU,,256,ipo,2026-08-15
BIXIW,,241,ipo,2026-08-15
BIYA,33,512,rs,2026-08-15
BJDX,198,1739,rs,2026-08-15
BKFI,,215,ipo,2026-08-15
BKHAU,,241,ipo,2026-08-15
BKLG,,53,ipo,2026-08-15
BKMI,,215,ipo,2026-08-15
BKMS,,215,ipo,2026-08-15
BKNU,,332,ipo,2026-08-15
BKYI,107,38,both,2026-08-15
BLCK,,101,ipo,2026-08-15
BLDX,,194,ipo,2026-08-15
BLEG,74,,rs,2026-08-15
BLLN,,282,ipo,2026-08-15
BLMZ,267,752,rs,2026-08-15
BLRK,,194,ipo,2026-08-15
BLRKU,,247,ipo,2026-08-15
BLRKW,,193,ipo,2026-08-15
BLRZF,240,,rs,2026-08-15
BLSG,,292,ipo,2026-08-15
BLSX,,296,ipo,2026-08-15
BLVDF,295,,rs,2026-08-15
BLZR,,288,ipo,2026-08-15
BLZRU,,339,ipo,2026-08-15
BLZRW,,288,ipo,2026-08-15
BMGL,54,536,rs,2026-08-15
BMM,,201,ipo,2026-08-15
BMNG,102,292,both,2026-08-15
BMNP,,60,ipo,2026-08-15
BMNU,33,323,both,2026-08-15
BMNZ,,275,ipo,2026-08-15
BMOP,,215,ipo,2026-08-15
BMTLF,99,,rs,2026-08-15
BMXC,283,,rs,2026-08-15
BNAI,246,883,rs,2026-08-15
BNBX,439,312,ipo,2026-08-15
BNCWZ,,122,ipo,2026-08-15
BNDD,344,1789,rs,2026-08-15
BNDP,,254,ipo,2026-08-15
BNKD,172,541,rs,2026-08-15
BNKK,247,309,both,2026-08-15
BNKKW,,309,ipo,2026-08-15
BNMC,,36,ipo,2026-08-15
BNRG,2,1543,rs,2026-08-15
BNY,,86,ipo,2026-08-15
BNZI,99,974,rs,2026-08-15
BOBS,,191,ipo,2026-08-15
BOIL,79,5427,rs,2026-08-15
BOT,,96,ipo,2026-08-15
BOTY,194,,rs,2026-08-15
BOXL,54,3180,rs,2026-08-15
BPAC,4957,221,ipo,2026-08-15
BPACR,,221,ipo,2026-08-15
BPACU,,276,ipo,2026-08-15
BPRE,,242,ipo,2026-08-15
BPRO,4191,205,ipo,2026-08-15
BRAI,,184,ipo,2026-08-15
BRBI,,330,ipo,2026-08-15
BRCB,,337,ipo,2026-08-15
BRCE,,297,ipo,2026-08-15
BREE,,163,ipo,2026-08-15
BREM,,303,ipo,2026-08-15
BRES,,191,ipo,2026-08-15
BREW,,101,ipo,2026-08-15
BREZ,,65,ipo,2026-08-15
BREZR,,65,ipo,2026-08-15
BREZU,,94,ipo,2026-08-15
BRIB,,149,ipo,2026-08-15
BRIE,,297,ipo,2026-08-15
BRKH,,32,ipo,2026-08-15
BRKHU,,85,ipo,2026-08-15
BRKHW,,32,ipo,2026-08-15
BRKL,,39,ipo,2026-08-15
BRKRP,,340,ipo,2026-08-15
BRLL,145,,rs,2026-08-15
BROL,,80,ipo,2026-08-15
BRR,,250,ipo,2026-08-15
BRRGF,207,,rs,2026-08-15
BRSM,,72,ipo,2026-08-15
BRTMU,,25,ipo,2026-08-15
BRUN,,96,ipo,2026-08-15
BRUNW,,96,ipo,2026-08-15
BRYGF,297,,rs,2026-08-15
BRZX,,73,ipo,2026-08-15
BSCA,,66,ipo,2026-08-15
BSENF,292,,rs,2026-08-15
BSGR,,66,ipo,2026-08-15
BSGT,,66,ipo,2026-08-15
BSIN,,68,ipo,2026-08-15
BSJY,,66,ipo,2026-08-15
BSKZF,236,,rs,2026-08-15
